data,product_id,nome,preco,preco_original,n_ofertas,item_id,seller_id,frete_gratis,full,permalink
2026-07-30,MLB21559318,Creme Para Pentear Ouribel Rícino 1kg,38.0,,2,MLB4995555036,581430943,True,False,https://www.mercadolivre.com.br/p/MLB21559318
2026-07-30,MLB29260874,Leave-in Capilar Multifuncional - 120ml - Wepink,49.9,,11,MLB4931621911,220212384,True,False,https://www.mercadolivre.com.br/p/MLB29260874
2026-07-30,MLB62279922,Leave In Capilar Repair Line Hobety 150ml,39.2,,7,MLB6004729712,577748592,True,True,https://www.mercadolivre.com.br/p/MLB62279922
2026-07-30,MLB57473163,Leave-in Capilar Natural Proteção Térmica 250ml - Nuno,79.5,85.49,2,MLB5735419400,1953193561,True,False,https://www.mercadolivre.com.br/p/MLB57473163
2026-07-30,MLB23187100,Tyrrel Professional Hair Protector Leave-in Capilar Renova,74.9,,3,MLB4487352459,2705875257,True,False,https://www.mercadolivre.com.br/p/MLB23187100
2026-07-30,MLB19515339,Eudora Siage Cica Therapy Leave In Capilar 100ml,42.89,,65,MLB4804742553,2641954917,True,False,https://www.mercadolivre.com.br/p/MLB19515339
2026-07-30,MLB19918521,Leave-in Capilar Amend Luxe Creations Reparação Intensa180ml,44.03,69.9,7,MLB3958763293,766560956,True,False,https://www.mercadolivre.com.br/p/MLB19918521
2026-07-30,MLB28723288,Eudora Leave-in Capilar Selante Finalizador Siàge Liso Inten,43.64,44.99,8,MLB7017657686,2641954917,True,False,https://www.mercadolivre.com.br/p/MLB28723288
2026-07-30,MLB22562802,Eudora Siàge Cauterização Dos Lisos Leave-in Capilar 100ml,42.58,78.99,64,MLB3329353369,256886274,True,True,https://www.mercadolivre.com.br/p/MLB22562802
2026-07-30,MLB44349333,Eudora Siage Cauterizacao Dos Lisos Leave In Capilar 100ml,44.06,,2,MLB5236156340,1123911819,True,False,https://www.mercadolivre.com.br/p/MLB44349333
2026-07-30,MLB59867950,Borabella Brush Fluído Escova 9x1 Leave In Capilar Spray,59.9,,5,MLB6718181634,457418724,True,False,https://www.mercadolivre.com.br/p/MLB59867950
2026-07-30,MLB19734494,O Boticario Match Science Leave-in Capilar Reconstroi 150ml,149.0,,2,MLB4964830087,733479935,True,False,https://www.mercadolivre.com.br/p/MLB19734494
2026-07-30,MLB19559047,Leave-in Capilar Uniq One Green 150ml Revlon Professional,78.9,,6,MLB5316406420,757141278,True,False,https://www.mercadolivre.com.br/p/MLB19559047
2026-07-30,MLB68658306,Kit Leave-in Capilar + Óleo Reparador Pontas Hair Vitamins,55.95,58.9,2,MLB6673411622,267660089,True,False,https://www.mercadolivre.com.br/p/MLB68658306
2026-07-30,MLB19638952,Leave In Capilar Siàge Nutri Rose Termoprotetor 100ml Eudora,52.99,,6,MLB4677232361,13935822,True,False,https://www.mercadolivre.com.br/p/MLB19638952
